,district,2016,2019,CAGR
0,Adilabad,10,6,-0.1565673346982508
1,Bhadradri Kothagudem ,0,0,0.0
2,Hyderabad,163631,319300,0.24961945502388505
3,Jagtial ,0,0,0.0
4,Jangaon ,2,0,-1.0
5,Jayashankar Bhoopalpally,86,45,-0.19418003949815066
6,Jogulamba Gadwal ,45,295,0.8715574693338302
7,Kamareddy ,0,0,0.0
8,Karimnagar ,0,0,0.0
9,Khammam,0,0,0.0
10,Komaram Bheem Asifabad,0,0,0.0
11,Mahabubabad ,0,0,0.0
12,Mahbubnagar,868,440,-0.20265859495705685
13,Mancherial,0,10,0.0
14,Medak ,0,0,0.0
15,Medchal ,0,0,0.0
16,Nagarkurnool ,29,199,0.9002833340636014
17,Nalgonda,0,0,0.0
18,Nirmal,0,0,0.0
19,Nizamabad,0,1,0.0
20,Peddapalli,0,0,0.0
21,Rajanna Sircilla ,0,0,0.0
22,Ranga Reddy,0,0,0.0
23,Sangareddy ,0,0,0.0
24,Siddipet,0,0,0.0
25,Suryapet,0,0,0.0
26,Vikarabad,0,0,0.0
27,Wanaparthy ,0,0,0.0
28,Warangal (Rural),0,0,0.0
29,Warangal (Urban),1899,2450,0.08863018790349209
30,Yadadri Bhongir,0,0,0.0
31,Mulugu,0,575,0.0
32,Narayanapet,0,0,0.0
