S.No.,District Name,As per 2011 census,Estimated Population in 2023
1,Adilabad,708972,768667
2,Bhadradri Kothagudem,1069261,1159293
3,Hyderabad,3943323,4275351
4,Jagitial,985417,1068389
5,Jangaon,566376,614065
6,Jayashankar Bhupalpally,416763,451854
7,Jogulamba Gadwal,609990,661351
8,Kamareddy,972625,1054520
9,Karimnagar,1005711,1090392
10,Khammam,1401639,1519657
11,Komaram Bheem,515812,559243
12,Mahabubabad,774549,839766
13,Mahabubnagar,919903,997359
14,Mancherial,807037,874990
15,Medak,767428,832045
16,Medchal–Malkajgiri,2440073,2645527
17,Mulugu,257744,279446
18,Nagarkurnool,893308,968525
19,Nalgonda,1618416,1754687
20,Narayanpet,566874,614605
21,Nirmal,709418,769151
22,Nizamabad,1571022,1703302
23,Peddapalli,795332,862299
24,Rajanna Sircilla,552037,598519
25,Ranga Reddy,2446265,2652241
26,Sangareddy,1527628,1656254
27,Siddipet,1012065,1097281
28,Suryapet,1099560,1192143
29,Vikarabad,927140,1005205
30,Wanaparthy,577758,626405
31,Warangal Rural,718537,779038
32,Warangal Urban,1080858,1171866
33,Yadadri Bhuvanagiri,739448,801710
